MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
356144000,2019-05-10T00:01:30,29.74042,-95.20651,0.1,229.2,113.0,GENESIS RIVER,IMO9478937,H3UA,80,5.0,189.0,32.0,12.6,,A
356144000,2019-05-10T00:04:30,29.74039,-95.20651,0.1,221.6,113.0,GENESIS RIVER,IMO9478937,H3UA,80,5.0,189.0,32.0,12.6,,A
356144000,2019-05-10T00:07:30,29.74038,-95.20646,0.1,223.8,113.0,GENESIS RIVER,IMO9478937,H3UA,80,5.0,189.0,32.0,12.6,,A
356144000,2019-05-10T00:10:30,29.74041,-95.20648,0.1,228.9,113.0,GENESIS RIVER,IMO9478937,H3UA,80,5.0,189.0,32.0,12.6,,A
356144000,2019-05-10T00:13:30,29.74042,-95.20649,0.0,245.4,113.0,GENESIS RIVER,IMO9478937,H3UA,80,5.0,189.0,32.0,12.6,,A
356144000,2019-05-10T00:16:30,29.74045,-95.20651,0.0,245.2,113.0,GENESIS RIVER,IMO9478937,H3UA,80,5.0,189.0,32.0,12.6,,A
356144000,2019-05-10T00:19:30,29.74043,-95.20648,0.1,155.2,113.0,GENESIS RIVER,IMO9478937,H3UA,80,5.0,189.0,32.0,12.6,,A
356144000,2019-05-10T00:22:30,29.74043,-95.20654,0.1,253.2,113.0,GENESIS RIVER,IMO9478937,H3UA,80,5.0,189.0,32.0,12.6,,A
356144000,2019-05-10T00:25:30,29.74044,-95.20649,0.1,252.3,113.0,GENESIS RIVER,IMO9478937,H3UA,80,5.0,189.0,32.0,12.6,,A
356144000,2019-05-10T00:31:30,29.74042,-95.20649,0.1,211.4,113.0,GENESIS RIVER,IMO9478937,H3UA,80,5.0,189.0,32.0,12.6,,A
356144000,2019-05-10T00:34:30,29.74043,-95.20655,0.1,220.1,113.0,GENESIS RIVER,IMO9478937,H3UA,80,5.0,189.0,32.0,12.6,,A
